step,t_s,n_m,e_m,d_m,ax_body,ay_body,az_body,gx_body,gy_body,gz_body,m0,m1,m2,m3,imu_recv,navsat_recv,motor_send
0,0.000,0.0000,0.0000,0.0000,-0.0021,-0.0001,-9.8004,0.0004,-0.0005,-0.0002,0.700,0.700,0.700,0.700,51,0,1
1,0.010,0.0000,0.0000,-0.0200,0.0008,-0.0014,-9.7969,-0.0001,0.0002,-0.0015,0.700,0.700,0.700,0.700,54,1,2
2,0.020,0.0000,0.0000,-0.0200,0.0013,0.0000,-9.8005,-0.0007,0.0013,0.0013,0.700,0.700,0.700,0.700,56,1,3
3,0.030,0.0000,0.0000,-0.0200,0.0020,-0.0025,-13.8214,-0.0008,0.0006,-0.0000,0.700,0.700,0.700,0.700,58,1,4
4,0.040,0.0000,0.0000,-0.0202,0.0001,0.0018,-18.4164,0.0006,-0.0008,-0.0019,0.700,0.700,0.700,0.700,60,2,5
5,0.050,0.0000,0.0000,-0.0202,-0.0001,-0.0008,-21.3271,-0.0013,-0.0001,0.0002,0.700,0.700,0.700,0.700,63,2,6
6,0.060,0.0000,0.0000,-0.0202,-0.0008,-0.0008,-22.0453,0.0009,0.0003,0.0009,0.700,0.700,0.700,0.700,65,2,7
7,0.070,0.0000,0.0000,-0.0202,0.0000,0.0003,-22.3740,0.0000,-0.0005,-0.0000,0.700,0.700,0.700,0.700,67,2,8
8,0.080,0.0000,0.0000,-0.0202,-0.0018,-0.0014,-22.5225,-0.0005,0.0008,-0.0017,0.700,0.700,0.700,0.700,69,2,9
9,0.090,0.0000,0.0000,-0.0202,0.0022,-0.0028,-22.5933,-0.0001,-0.0003,-0.0012,0.700,0.700,0.700,0.700,71,2,10
10,0.100,0.0000,0.0000,-0.0202,0.0014,-0.0005,-22.6296,-0.0007,-0.0013,-0.0008,0.700,0.700,0.700,0.700,74,2,11
11,0.110,0.0000,0.0000,-0.0202,0.0005,-0.0024,-22.6367,-0.0006,-0.0002,0.0012,0.700,0.700,0.700,0.700,76,2,12
12,0.120,0.0000,0.0000,-0.0202,-0.0002,-0.0017,-22.6417,0.0001,-0.0004,-0.0016,0.700,0.700,0.700,0.700,78,2,13
13,0.130,0.0000,0.0000,-0.0825,0.0040,-0.0010,-22.6423,0.0014,-0.0002,0.0011,0.700,0.700,0.700,0.700,80,3,14
14,0.140,0.0000,0.0000,-0.0825,-0.0011,0.0001,-22.6468,0.0000,0.0010,0.0008,0.700,0.700,0.700,0.700,83,3,15
15,0.150,0.0000,0.0000,-0.0825,-0.0001,0.0000,-22.6451,-0.0000,-0.0005,-0.0003,0.700,0.700,0.700,0.700,85,3,16
16,0.160,0.0000,0.0000,-0.0825,0.0017,0.0021,-22.6431,0.0011,-0.0008,0.0010,0.700,0.700,0.700,0.700,87,3,17
17,0.170,0.0000,0.0000,-0.0825,0.0020,-0.0008,-22.6468,0.0003,0.0011,0.0008,0.700,0.700,0.700,0.700,89,3,18
18,0.180,0.0000,0.0000,-0.0825,-0.0002,-0.0005,-22.6459,-0.0002,0.0001,0.0013,0.700,0.700,0.700,0.700,91,3,19
19,0.190,0.0000,0.0000,-0.0825,0.0032,-0.0020,-22.6513,-0.0007,0.0001,-0.0012,0.700,0.700,0.700,0.700,93,3,20
20,0.200,0.0000,0.0000,-0.0825,0.0019,-0.0024,-22.6457,0.0010,0.0008,-0.0014,0.700,0.700,0.700,0.700,95,3,21
