step,t_s,n_m,e_m,d_m,ax_body,ay_body,az_body,gx_body,gy_body,gz_body,m0,m1,m2,m3,imu_recv,navsat_recv,motor_send
0,0.000,0.0000,0.0000,0.0000,0.0023,-0.0025,-9.7991,0.0002,0.0018,-0.0003,0.700,0.700,0.700,0.700,51,0,1
1,0.010,0.0000,0.0000,0.0000,0.0023,-0.0025,-9.7991,0.0002,0.0018,-0.0003,0.700,0.700,0.700,0.700,51,0,2
2,0.020,0.0000,0.0000,0.0000,0.0023,-0.0025,-9.7991,0.0002,0.0018,-0.0003,0.700,0.700,0.700,0.700,51,0,3
3,0.030,0.0000,0.0000,0.0000,0.0023,-0.0025,-9.7991,0.0002,0.0018,-0.0003,0.700,0.700,0.700,0.700,51,0,4
4,0.040,0.0000,0.0000,0.0000,0.0023,-0.0025,-9.7991,0.0002,0.0018,-0.0003,0.700,0.700,0.700,0.700,51,0,5
5,0.050,0.0000,0.0000,0.0000,0.0023,-0.0025,-9.7991,0.0002,0.0018,-0.0003,0.700,0.700,0.700,0.700,51,0,6
6,0.060,0.0000,0.0000,0.0000,0.0023,-0.0025,-9.7991,0.0002,0.0018,-0.0003,0.700,0.700,0.700,0.700,51,0,7
7,0.070,0.0000,0.0000,0.0000,0.0023,-0.0025,-9.7991,0.0002,0.0018,-0.0003,0.700,0.700,0.700,0.700,51,0,8
8,0.080,0.0000,0.0000,0.0000,0.0023,-0.0025,-9.7991,0.0002,0.0018,-0.0003,0.700,0.700,0.700,0.700,51,0,9
9,0.090,0.0000,0.0000,0.0000,0.0023,-0.0025,-9.7991,0.0002,0.0018,-0.0003,0.700,0.700,0.700,0.700,51,0,10
10,0.100,0.0000,0.0000,0.0000,0.0023,-0.0025,-9.7991,0.0002,0.0018,-0.0003,0.700,0.700,0.700,0.700,51,0,11
11,0.110,0.0000,0.0000,0.0000,0.0023,-0.0025,-9.7991,0.0002,0.0018,-0.0003,0.700,0.700,0.700,0.700,51,0,12
12,0.120,0.0000,0.0000,0.0000,0.0023,-0.0025,-9.7991,0.0002,0.0018,-0.0003,0.700,0.700,0.700,0.700,51,0,13
13,0.130,0.0000,0.0000,0.0000,0.0023,-0.0025,-9.7991,0.0002,0.0018,-0.0003,0.700,0.700,0.700,0.700,51,0,14
14,0.140,0.0000,0.0000,0.0000,0.0023,-0.0025,-9.7991,0.0002,0.0018,-0.0003,0.700,0.700,0.700,0.700,51,0,15
