step,t_s,n_m,e_m,d_m,ax_body,ay_body,az_body,gx_body,gy_body,gz_body,m0,m1,m2,m3,imu_recv,navsat_recv,motor_send
0,0.000,0.0000,0.0000,0.0000,-0.0006,0.0019,-9.8025,0.0002,-0.0017,0.0014,0.660,0.643,0.648,0.653,51,0,1
1,0.010,0.0000,0.0000,-0.0200,-0.0004,0.0002,-9.7999,0.0002,-0.0009,-0.0010,0.492,0.506,0.497,0.502,53,2,2
2,0.020,0.0000,0.0000,-0.0200,0.0011,-0.0027,-9.7980,-0.0010,0.0010,0.0004,0.649,0.650,0.652,0.649,55,2,3
3,0.030,0.0000,0.0000,-0.0200,-0.0003,-0.0031,-10.0997,-0.0001,-0.0016,0.0001,0.652,0.650,0.649,0.651,58,3,4
4,0.040,0.0000,0.0000,-0.0200,0.0005,-0.0021,-14.9183,0.0053,-0.0069,0.0010,0.657,0.650,0.646,0.651,60,3,5
5,0.050,0.0000,-0.0000,-0.0204,-0.0011,0.0003,-17.4097,-0.0014,-0.0100,-0.0009,0.649,0.644,0.647,0.654,62,4,6
6,0.060,0.0000,-0.0000,-0.0204,-0.0013,0.0010,-18.5367,-0.0184,-0.0095,0.0001,0.646,0.642,0.659,0.662,64,4,7
7,0.070,-0.0000,0.0000,-0.0233,0.0017,0.0045,-19.2683,-0.0520,-0.0125,-0.0033,0.613,0.609,0.645,0.654,67,5,8
8,0.080,-0.0000,0.0000,-0.0298,-0.0047,0.0048,-19.0221,-0.0776,-0.0161,-0.0108,0.583,0.580,0.618,0.632,69,6,9
9,0.090,-0.0000,0.0000,-0.0298,-0.0029,0.0077,-18.4239,-0.1038,-0.0233,-0.0199,0.628,0.622,0.670,0.691,71,6,10
10,0.100,0.0000,0.0000,-0.0399,-0.0042,0.0138,-19.0706,-0.1672,-0.0515,-0.0455,0.534,0.516,0.599,0.656,74,7,11
11,0.110,0.0000,0.0000,-0.0399,-0.0099,0.0207,-17.9656,-0.2450,-0.0958,-0.0687,0.601,0.561,0.681,0.767,76,7,12
12,0.120,0.0000,0.0000,-0.0535,-0.0151,0.0334,-18.4877,-0.3806,-0.1668,-0.1061,0.471,0.399,0.591,0.737,78,8,13
13,0.130,0.0000,0.0000,-0.0535,-0.0253,0.0559,-18.1464,-0.6206,-0.2911,-0.1577,0.525,0.393,0.727,0.964,80,8,14
14,0.140,0.0001,0.0001,-0.0705,-0.0642,0.1187,-19.7558,-1.2865,-0.6457,-0.2863,0.002,0.000,0.428,1.000,83,9,15
15,0.150,0.0003,0.0001,-0.0910,-0.1501,0.1793,-17.2147,-2.1653,-1.3091,-0.4457,0.000,0.000,0.000,1.000,85,10,16
16,0.160,0.0003,0.0001,-0.0910,-0.2335,0.2567,-14.4635,-3.4573,-2.4869,-0.6279,0.000,0.000,0.000,1.000,87,10,17
17,0.170,0.0008,0.0003,-0.1143,-0.3003,0.3301,-12.4915,-6.0511,-4.9363,-0.8957,0.000,0.000,0.000,1.000,90,11,18
18,0.180,0.0008,0.0003,-0.1143,-0.3274,0.3623,-12.0782,-7.9805,-6.7307,-1.0744,0.000,0.000,0.000,1.000,92,11,19
19,0.190,0.0018,0.0008,-0.1388,-0.3379,0.3959,-11.9478,-9.9912,-8.5537,-1.2522,0.000,0.000,0.000,1.000,94,12,20
20,0.200,0.0018,0.0008,-0.1388,-0.3453,0.4193,-11.9547,-12.0642,-10.3617,-1.4297,0.000,0.000,0.000,1.000,96,12,21
