t_s,altitude_m,commanded_m
0.0000,0.0001,2.0000
0.0040,0.0002,2.0000
0.0080,0.0003,2.0000
0.0120,0.0005,2.0000
0.0160,0.0008,2.0000
0.0200,0.0011,2.0000
0.0240,0.0014,2.0000
0.0280,0.0018,2.0000
0.0320,0.0023,2.0000
0.0360,0.0028,2.0000
0.0400,0.0034,2.0000
0.0440,0.0040,2.0000
0.0480,0.0047,2.0000
0.0520,0.0054,2.0000
0.0560,0.0062,2.0000
0.0600,0.0070,2.0000
0.0640,0.0078,2.0000
0.0680,0.0088,2.0000
0.0720,0.0097,2.0000
0.0760,0.0108,2.0000
0.0800,0.0118,2.0000
0.0840,0.0130,2.0000
0.0880,0.0141,2.0000
0.0920,0.0154,2.0000
0.0960,0.0166,2.0000
0.1000,0.0180,2.0000
0.1040,0.0193,2.0000
0.1080,0.0208,2.0000
0.1120,0.0222,2.0000
0.1160,0.0238,2.0000
0.1200,0.0254,2.0000
0.1240,0.0270,2.0000
0.1280,0.0287,2.0000
0.1320,0.0304,2.0000
0.1360,0.0322,2.0000
0.1400,0.0340,2.0000
0.1440,0.0359,2.0000
0.1480,0.0378,2.0000
0.1520,0.0398,2.0000
0.1560,0.0418,2.0000
0.1600,0.0439,2.0000
0.1640,0.0460,2.0000
0.1680,0.0481,2.0000
0.1720,0.0504,2.0000
0.1760,0.0526,2.0000
0.1800,0.0549,2.0000
0.1840,0.0573,2.0000
0.1880,0.0597,2.0000
0.1920,0.0622,2.0000
0.1960,0.0647,2.0000
0.2000,0.0672,2.0000
0.2040,0.0698,2.0000
0.2080,0.0725,2.0000
0.2120,0.0752,2.0000
0.2160,0.0779,2.0000
0.2200,0.0807,2.0000
0.2240,0.0835,2.0000
0.2280,0.0864,2.0000
0.2320,0.0893,2.0000
0.2360,0.0923,2.0000
0.2400,0.0953,2.0000
0.2440,0.0984,2.0000
0.2480,0.1015,2.0000
0.2520,0.1047,2.0000
0.2560,0.1079,2.0000
0.2600,0.1111,2.0000
0.2640,0.1144,2.0000
0.2680,0.1177,2.0000
0.2720,0.1211,2.0000
0.2760,0.1245,2.0000
0.2800,0.1280,2.0000
0.2840,0.1315,2.0000
0.2880,0.1351,2.0000
0.2920,0.1386,2.0000
0.2960,0.1423,2.0000
0.3000,0.1459,2.0000
0.3040,0.1497,2.0000
0.3080,0.1534,2.0000
0.3120,0.1572,2.0000
0.3160,0.1610,2.0000
0.3200,0.1649,2.0000
0.3240,0.1688,2.0000
0.3280,0.1728,2.0000
0.3320,0.1768,2.0000
0.3360,0.1808,2.0000
0.3400,0.1849,2.0000
0.3440,0.1890,2.0000
0.3480,0.1931,2.0000
0.3520,0.1973,2.0000
0.3560,0.2015,2.0000
0.3600,0.2058,2.0000
0.3640,0.2100,2.0000
0.3680,0.2144,2.0000
0.3720,0.2187,2.0000
0.3760,0.2231,2.0000
0.3800,0.2275,2.0000
0.3840,0.2320,2.0000
0.3880,0.2365,2.0000
0.3920,0.2410,2.0000
0.3960,0.2456,2.0000
0.4000,0.2502,2.0000
0.4040,0.2548,2.0000
0.4080,0.2595,2.0000
0.4120,0.2641,2.0000
0.4160,0.2689,2.0000
0.4200,0.2736,2.0000
0.4240,0.2784,2.0000
0.4280,0.2832,2.0000
0.4320,0.2881,2.0000
0.4360,0.2929,2.0000
0.4400,0.2978,2.0000
0.4440,0.3028,2.0000
0.4480,0.3077,2.0000
0.4520,0.3127,2.0000
0.4560,0.3178,2.0000
0.4600,0.3228,2.0000
0.4640,0.3279,2.0000
0.4680,0.3330,2.0000
0.4720,0.3381,2.0000
0.4760,0.3433,2.0000
0.4800,0.3485,2.0000
0.4840,0.3537,2.0000
0.4880,0.3589,2.0000
0.4920,0.3642,2.0000
0.4960,0.3695,2.0000
0.5000,0.3748,2.0000
0.5040,0.3802,2.0000
0.5080,0.3855,2.0000
0.5120,0.3909,2.0000
0.5160,0.3963,2.0000
0.5200,0.4018,2.0000
0.5240,0.4072,2.0000
0.5280,0.4127,2.0000
0.5320,0.4182,2.0000
0.5360,0.4238,2.0000
0.5400,0.4293,2.0000
0.5440,0.4349,2.0000
0.5480,0.4405,2.0000
0.5520,0.4461,2.0000
0.5560,0.4518,2.0000
0.5600,0.4574,2.0000
0.5640,0.4631,2.0000
0.5680,0.4688,2.0000
0.5720,0.4746,2.0000
0.5760,0.4803,2.0000
0.5800,0.4861,2.0000
0.5840,0.4919,2.0000
0.5880,0.4977,2.0000
0.5920,0.5035,2.0000
0.5960,0.5093,2.0000
0.6000,0.5152,2.0000
0.6040,0.5211,2.0000
0.6080,0.5270,2.0000
0.6120,0.5329,2.0000
0.6160,0.5388,2.0000
0.6200,0.5448,2.0000
0.6240,0.5508,2.0000
0.6280,0.5567,2.0000
0.6320,0.5627,2.0000
0.6360,0.5688,2.0000
0.6400,0.5748,2.0000
0.6440,0.5809,2.0000
0.6480,0.5869,2.0000
0.6520,0.5930,2.0000
0.6560,0.5991,2.0000
0.6600,0.6052,2.0000
0.6640,0.6113,2.0000
0.6680,0.6175,2.0000
0.6720,0.6236,2.0000
0.6760,0.6298,2.0000
0.6800,0.6360,2.0000
0.6840,0.6422,2.0000
0.6880,0.6484,2.0000
0.6920,0.6546,2.0000
0.6960,0.6609,2.0000
0.7000,0.6671,2.0000
0.7040,0.6734,2.0000
0.7080,0.6796,2.0000
0.7120,0.6859,2.0000
0.7160,0.6922,2.0000
0.7200,0.6985,2.0000
0.7240,0.7048,2.0000
0.7280,0.7111,2.0000
0.7320,0.7175,2.0000
0.7360,0.7238,2.0000
0.7400,0.7302,2.0000
0.7440,0.7365,2.0000
0.7480,0.7429,2.0000
0.7520,0.7493,2.0000
0.7560,0.7557,2.0000
0.7600,0.7621,2.0000
0.7640,0.7685,2.0000
0.7680,0.7749,2.0000
0.7720,0.7813,2.0000
0.7760,0.7878,2.0000
0.7800,0.7942,2.0000
0.7840,0.8006,2.0000
0.7880,0.8071,2.0000
0.7920,0.8135,2.0000
0.7960,0.8200,2.0000
0.8000,0.8265,2.0000
0.8040,0.8329,2.0000
0.8080,0.8394,2.0000
0.8120,0.8459,2.0000
0.8160,0.8524,2.0000
0.8200,0.8589,2.0000
0.8240,0.8654,2.0000
0.8280,0.8719,2.0000
0.8320,0.8784,2.0000
0.8360,0.8849,2.0000
0.8400,0.8914,2.0000
