step,t_s,n_m,e_m,d_m,ax_body,ay_body,az_body,gx_body,gy_body,gz_body,m0,m1,m2,m3,imu_recv,navsat_recv,motor_send
40,0.400,0.0000,0.0000,-0.1126,-0.0019,-0.0014,-10.4972,0.0004,-0.0002,-0.0002,0.786,0.786,0.786,0.786,144,24,41
41,0.410,0.0000,0.0000,-0.1216,-0.0009,-0.0029,-10.4680,-0.0004,0.0022,0.0014,0.782,0.782,0.782,0.782,146,25,42
42,0.420,0.0000,0.0000,-0.1216,-0.0005,0.0020,-10.3778,0.0002,-0.0010,0.0005,0.784,0.784,0.784,0.784,149,25,43
43,0.430,0.0000,0.0000,-0.1307,0.0018,-0.0008,-10.3533,0.0005,-0.0015,-0.0004,0.780,0.780,0.780,0.780,151,26,44
44,0.440,0.0000,0.0000,-0.1307,-0.0012,0.0019,-10.3143,-0.0004,0.0003,-0.0005,0.783,0.783,0.783,0.783,153,26,45
45,0.450,0.0000,0.0000,-0.1401,0.0004,-0.0001,-10.2902,0.0006,-0.0011,-0.0004,0.778,0.778,0.778,0.778,155,27,46
46,0.460,0.0000,0.0000,-0.1401,0.0009,0.0004,-10.2605,-0.0003,0.0006,0.0008,0.781,0.781,0.781,0.781,157,27,47
47,0.470,0.0000,0.0000,-0.1497,-0.0018,0.0016,-10.2426,-0.0010,0.0005,-0.0008,0.776,0.776,0.776,0.776,159,28,48
48,0.480,0.0000,0.0000,-0.1595,0.0022,0.0036,-10.1922,-0.0003,0.0012,-0.0000,0.772,0.772,0.772,0.772,162,29,49
49,0.490,0.0000,0.0000,-0.1595,0.0019,-0.0023,-10.1288,0.0003,0.0008,-0.0017,0.775,0.775,0.775,0.775,164,29,50
50,0.500,0.0000,0.0000,-0.1694,-0.0009,0.0008,-10.0979,-0.0010,0.0001,-0.0021,0.770,0.770,0.770,0.770,166,30,51
51,0.510,0.0000,0.0000,-0.1694,0.0016,-0.0002,-10.0618,-0.0011,-0.0000,0.0002,0.774,0.774,0.774,0.774,168,30,52
52,0.520,0.0000,0.0000,-0.1795,0.0039,-0.0017,-10.0391,-0.0004,0.0000,-0.0012,0.769,0.769,0.769,0.769,170,31,53
53,0.530,0.0000,0.0000,-0.1795,-0.0023,-0.0032,-9.9896,0.0011,0.0013,-0.0005,0.772,0.772,0.772,0.772,173,31,54
54,0.540,0.0000,0.0000,-0.1896,-0.0011,0.0010,-9.9900,-0.0008,-0.0009,0.0003,0.767,0.767,0.767,0.767,175,32,55
55,0.550,0.0000,0.0000,-0.1896,0.0024,0.0017,-9.9680,-0.0011,0.0003,0.0004,0.771,0.771,0.771,0.771,177,32,56
56,0.560,0.0000,0.0000,-0.1999,0.0002,-0.0029,-9.9550,-0.0006,0.0001,-0.0010,0.766,0.766,0.766,0.766,180,33,57
57,0.570,0.0000,0.0000,-0.2101,-0.0007,0.0004,-9.9308,0.0004,0.0004,-0.0012,0.762,0.762,0.762,0.762,182,34,58
58,0.580,0.0000,0.0000,-0.2101,-0.0014,0.0062,-9.8798,0.0007,0.0002,0.0006,0.766,0.766,0.766,0.766,184,34,59
59,0.590,0.0000,0.0000,-0.2205,0.0019,-0.0000,-9.8399,-0.0002,0.0015,0.0008,0.761,0.761,0.761,0.761,187,35,60
60,0.600,0.0000,0.0000,-0.2205,-0.0010,0.0008,-9.8082,0.0001,0.0011,-0.0002,0.765,0.765,0.765,0.765,189,35,61
61,0.610,0.0000,0.0000,-0.2308,-0.0003,0.0016,-9.7979,-0.0020,-0.0000,-0.0018,0.760,0.760,0.760,0.760,191,36,62
62,0.620,0.0000,0.0000,-0.2308,-0.0034,-0.0007,-9.7870,0.0016,-0.0011,0.0002,0.764,0.764,0.764,0.764,193,36,63
